製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 12:38,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
243,0.0962,0.045,0.8676,-0.4691,,0.0962
244,0.0946,0.045,0.8676,-0.4563,,0.0946
245,0.1066,0.0321,0.8676,-0.4563,,0.1066
246,0.0783,0.0321,0.8547,-0.482,,0.0783
247,0.017,0.0321,0.8676,-0.4434,,0.017
248,-0.0601,0.0321,0.8676,-0.4563,,0.0601
249,-0.0563,0.045,0.8418,-0.4691,,0.0563
250,-0.0302,0.0321,0.8676,-0.4563,,0.0302
251,-0.0305,0.0321,0.8547,-0.4563,,0.0305
252,-0.0217,0.045,0.8547,-0.4691,,0.0217
253,-0.0031,0.045,0.8547,-0.4691,,0.0031
254,-0.0042,0.0578,0.8547,-0.4691,,0.0042
255,0.0068,0.0321,0.8547,-0.4691,,0.0068
256,0.0003,0.045,0.8547,-0.4434,,0.0003
257,0.0145,0.0321,0.8676,-0.482,,0.0145
258,0.079,0.045,0.8547,-0.4691,,0.079
259,0.062,0.0578,0.8418,-0.4691,,0.062
260,0.0232,0.045,0.8418,-0.4691,,0.0232
261,0.1737,0.045,0.8418,-0.4948,,0.1737
262,0.2134,0.045,0.8547,-0.482,,0.2134
263,0.1603,0.0193,0.8676,-0.4691,,0.1603
264,0.0853,0.045,0.8676,-0.4434,,0.0853
265,0.0309,0.0193,0.8547,-0.482,,0.0309
266,0.0218,0.0193,0.8547,-0.4563,,0.0218
267,-0.0001,0.045,0.8547,-0.4691,,0.0001
268,0.0115,0.045,0.8547,-0.482,,0.0115
269,0.0843,0.045,0.8547,-0.482,,0.0843
270,0.066,0.0193,0.8547,-0.4563,,0.066
271,0.0148,0.0193,0.8547,-0.4691,,0.0148
272,0.045,0.0321,0.8676,-0.4563,,0.045
273,0.1008,0.045,0.8676,-0.4691,,0.1008
274,0.0697,0.0321,0.8676,-0.4691,,0.0697
275,0.0441,0.0321,0.8676,-0.482,,0.0441
276,0.0178,0.0321,0.8547,-0.4691,,0.0178
277,-0.0048,0.0321,0.8547,-0.4948,,0.0048
278,-0.0719,0.0835,0.8676,-0.482,,0.0719
279,-0.0057,0.0321,0.8676,-0.482,,0.0057
280,0.0881,0.0193,0.8676,-0.482,,0.0881
281,0.1969,0.0321,0.8676,-0.4691,,0.1969
282,0.1504,0.045,0.8547,-0.4691,,0.1504
283,0.1403,0.045,0.8547,-0.4563,,0.1403
284,0.0966,0.045,0.8676,-0.4691,,0.0966
285,0.0462,0.045,0.8547,-0.4691,,0.0462
286,-0.0222,0.0321,0.8547,-0.4563,,0.0222
287,-0.0726,0.0321,0.8676,-0.4563,,0.0726
288,-0.0689,0.0321,0.8547,-0.4563,,0.0689
289,-0.0683,0.045,0.8547,-0.4948,,0.0683
290,-0.0213,0.045,0.8804,-0.482,,0.0213
291,0.0244,0.0321,0.8418,-0.482,,0.0244
292,0.0717,0.0321,0.8547,-0.4948,,0.0717
293,0.0782,0.045,0.8547,-0.4691,,0.0782
294,0.0913,0.045,0.8676,-0.482,,0.0913
