製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,9,,,,
計測開始時刻 ,00/00/00 00:14 ,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x8 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
300,-0.3667,-1.6644,-0.5462,0.392,0.3667
301,-0.1283,-1.6387,-0.5462,0.5591,0.1283
302,0.0493,-1.6002,-0.5205,0.7133,0.0493
303,0.1129,-1.4973,-0.482,0.8676,0.1129
304,0.0624,-1.5102,-0.4177,0.9961,0.0624
305,-0.0063,-1.4588,-0.3534,1.176,0.0063
306,0.0437,-1.3945,-0.2763,1.3174,0.0437
307,0.0318,-1.3302,-0.1992,1.3945,0.0318
308,-0.0771,-1.2531,-0.1092,1.4716,0.0771
309,-0.183,-1.1632,-0.0064,1.5487,0.183
310,-0.3242,-1.0732,0.1092,1.5873,0.3242
311,-0.3433,-0.9832,0.1864,1.6259,0.3433
312,-0.2708,-0.9061,0.302,1.6387,0.2708
313,-0.2546,-0.8161,0.392,1.6259,0.2546
314,-0.1109,-0.7262,0.482,1.6002,0.1109
315,0.2028,-0.6619,0.5591,1.5616,0.2028
316,0.288,-0.5719,0.6234,1.5102,0.288
317,0.2394,-0.4948,0.6876,1.4588,0.2394
318,0.1573,-0.4563,0.739,1.3945,0.1573
319,0.144,-0.3792,0.7904,1.3045,0.144
320,0.0871,-0.3663,0.8547,1.1889,0.0871
321,0.2222,-0.3534,0.8804,1.0989,0.2222
322,0.3672,-0.3277,0.9061,0.9575,0.3672
323,0.4193,-0.3277,0.9318,0.8033,0.4193
324,0.4438,-0.3663,0.919,0.6619,0.4438
325,0.4396,-0.3663,0.919,0.5205,0.4396
326,0.331,-0.4049,0.919,0.3663,0.331
327,0.0768,-0.4563,0.9061,0.1992,0.0768
328,-0.094,-0.5077,0.8804,0.0321,0.094
329,-0.2415,-0.5205,0.8933,-0.1478,0.2415
330,-0.2912,-0.5591,0.8547,-0.3149,0.2912
331,-0.2856,-0.6105,0.829,-0.4563,0.2856
332,-0.2824,-0.6491,0.8033,-0.5719,0.2824
333,-0.2824,-0.7005,0.7519,-0.7005,0.2824
334,-0.3736,-0.7005,0.7262,-0.7904,0.3736
335,-0.5067,-0.739,0.7133,-0.829,0.5067
336,-0.5162,-0.7519,0.7005,-0.8804,0.5162
337,-0.3222,-0.7776,0.7005,-0.8547,0.3222
338,-0.076,-0.8161,0.6876,-0.8418,0.076
339,0.1193,-0.8418,0.6876,-0.8161,0.1193
340,0.2411,-0.8676,0.6876,-0.7133,0.2411
341,0.3815,-0.9061,0.7262,-0.6362,0.3815
342,0.3116,-0.9318,0.7519,-0.5077,0.3116
343,0.1503,-0.9961,0.7647,-0.3534,0.1503
344,0.1186,-1.0475,0.7904,-0.1735,0.1186
345,0.1207,-1.0989,0.829,-0.0193,0.1207
346,0.2781,-1.1503,0.8547,0.1478,0.2781
347,0.4436,-1.176,0.8804,0.3792,0.4436
348,0.5135,-1.2274,0.8933,0.5205,0.5135
349,0.4101,-1.2274,0.9061,0.6362,0.4101
350,0.2493,-1.2403,0.9061,0.7776,0.2493
351,0.0471,-1.2017,0.9061,0.8547,0.0471
352,-0.1034,-1.1375,0.8933,0.8804,0.1034
353,-0.2547,-1.0218,0.8804,0.8804,0.2547
354,-0.4148,-0.9061,0.8161,0.829,0.4148
355,-0.2984,-0.7519,0.7776,0.7519,0.2984
356,-0.0505,-0.5848,0.7005,0.7005,0.0505
357,0.0108,-0.4049,0.6362,0.6105,0.0108
358,-0.1565,-0.2635,0.5719,0.5205,0.1565
359,-0.0478,-0.1221,0.5205,0.4306,0.0478
360,-0.0064,0.0321,0.4434,0.3149,0.0064
361,-0.0281,0.1735,0.3792,0.2378,0.0281
362,-0.0949,0.2892,0.3277,0.135,0.0949
363,-0.2,0.4434,0.2763,0.0321,0.2
364,-0.3426,0.482,0.2378,-0.0707,0.3426
365,-0.4965,0.5334,0.2121,-0.1478,0.4965
366,-0.6107,0.5848,0.1864,-0.2378,0.6107
367,-0.5939,0.6234,0.1607,-0.3149,0.5939
368,-0.3283,0.6491,0.1478,-0.3792,0.3283
369,-0.0532,0.6876,0.1478,-0.4434,0.0532
370,0.2421,0.7133,0.1478,-0.4948,0.2421
371,0.5617,0.7133,0.1478,-0.5334,0.5617
372,0.7305,0.7133,0.1478,-0.5334,0.7305
373,0.9137,0.6748,0.1478,-0.5591,0.9137
374,0.6981,0.6876,0.1607,-0.5719,0.6981
375,0.2109,0.6491,0.1735,-0.5848,0.2109
376,-0.2491,0.6491,0.1864,-0.5462,0.2491
377,-0.4646,0.6105,0.1992,-0.5719,0.4646
378,-0.4835,0.5848,0.1864,-0.5462,0.4835
379,-0.2155,0.5591,0.2121,-0.5334,0.2155
380,0.1866,0.5205,0.2249,-0.5077,0.1866
381,0.5897,0.482,0.2121,-0.482,0.5897
382,0.8066,0.4434,0.2249,-0.482,0.8066
383,0.6373,0.4049,0.2249,-0.4948,0.6373
384,0.3098,0.3663,0.2378,-0.4948,0.3098
385,-0.2207,0.3149,0.2249,-0.4948,0.2207
386,-0.7325,0.2763,0.2249,-0.5334,0.7325
387,-0.8938,0.2249,0.2121,-0.5334,0.8938
388,-0.8763,0.1735,0.2121,-0.5591,0.8763
389,-0.8691,0.1221,0.1992,-0.5976,0.8691
390,-0.8554,0.0578,0.2121,-0.6234,0.8554
391,-0.7659,-0.0064,0.1992,-0.6876,0.7659
392,-0.4841,-0.0578,0.1735,-0.7133,0.4841
393,-0.2498,-0.0964,0.1864,-0.7776,0.2498
394,-0.0551,-0.1478,0.1735,-0.829,0.0551
395,0.1224,-0.2121,0.1607,-0.8676,0.1224
396,0.2305,-0.2763,0.1607,-0.9447,0.2305
397,0.2988,-0.3406,0.1478,-0.9575,0.2988
398,0.4114,-0.392,0.1478,-1.0089,0.4114
399,0.5294,-0.4434,0.1478,-1.0218,0.5294
400,0.7096,-0.5205,0.135,-1.0732,0.7096
401,0.4814,-0.5976,0.1478,-1.0989,0.4814
402,0.4037,-0.6234,0.1221,-1.1118,0.4037
403,0.7015,-0.7133,0.135,-1.1375,0.7015
404,0.8336,-0.7519,0.1478,-1.1503,0.8336
405,0.7275,-0.8161,0.135,-1.1632,0.7275
406,0.7008,-0.8676,0.135,-1.1503,0.7008
407,0.7666,-0.919,0.1478,-1.1246,0.7666
408,0.7894,-0.9575,0.135,-1.1246,0.7894
409,0.6371,-1.0089,0.135,-1.1246,0.6371
410,0.4565,-1.0475,0.135,-1.1375,0.4565
411,0.1277,-1.0732,0.135,-1.1246,0.1277
412,-0.0636,-1.1246,0.135,-1.1246,0.0636
413,-0.3969,-1.176,0.135,-1.1118,0.3969
414,-0.5828,-1.2017,0.135,-1.0732,0.5828
415,-0.6169,-1.2274,0.1607,-1.0475,0.6169
416,-0.5123,-1.266,0.1478,-1.0603,0.5123
417,-0.2906,-1.2788,0.135,-1.0732,0.2906
418,-0.0962,-1.2531,0.135,-1.0603,0.0962
419,0.0843,-1.3045,0.135,-1.0475,0.0843
420,0.1923,-1.3431,0.135,-1.0475,0.1923
421,-0.1456,-1.3431,0.1478,-1.0089,0.1456
422,-0.3319,-1.3688,0.135,-1.0089,0.3319
423,-0.1759,-1.356,0.135,-1.0089,0.1759
424,0.0855,-1.3688,0.135,-0.9832,0.0855
425,0.3557,-1.3431,0.1221,-0.9318,0.3557
426,0.4421,-1.3302,0.1221,-0.9447,0.4421
427,0.5103,-1.3431,0.1092,-0.9318,0.5103
428,0.3026,-1.3174,0.1221,-0.9447,0.3026
429,0.1164,-1.3045,0.1221,-0.9318,0.1164
430,-0.0738,-1.2917,0.1221,-0.9318,0.0738
431,-0.2529,-1.2788,0.1221,-0.919,0.2529
432,-0.4108,-1.266,0.1092,-0.919,0.4108
433,-0.5808,-1.2531,0.1092,-0.9318,0.5808
434,-0.8604,-1.2146,0.0835,-0.919,0.8604
435,-0.957,-1.2017,0.0964,-0.919,0.957
436,-1.1007,-1.176,0.0835,-0.919,1.1007
437,-0.5797,-1.1632,0.0835,-0.9318,0.5797
438,0.292,-1.1503,0.0707,-0.9447,0.292
439,0.9977,-1.1375,0.0578,-0.9575,0.9977
440,1.2542,-1.1118,0.0578,-0.9704,1.2542
441,0.8505,-1.086,0.0578,-0.9704,0.8505
442,0.4211,-1.0732,0.0578,-0.9704,0.4211
443,0.0262,-1.0732,0.045,-0.9575,0.0262
444,-0.1711,-1.0603,0.0578,-0.9704,0.1711
445,-0.5077,-1.0346,0.0321,-0.9704,0.5077
446,-0.4589,-1.0475,0.0321,-0.9575,0.4589
447,-0.2832,-1.0346,0.0321,-0.9447,0.2832
